PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
110,14726020,1093252,CCOC(=O)N1CCN(CC1)CC2=NC(=NO2)C3=CC=C(C=C3)Cl,Inactive,10,,,6.28,1.69559,8.37461,4.22202,6.23022
111,99360866,323633,C1=CC=C(C=C1)S(=O)(=O)NC(CCC2=NC3=CC=CC=C3N2)C(=O)N,Inactive,10,,,6.17,1.26272,5.02094,7.92592,5.55369
112,24805981,3156634,COC(=O)C(CCSC)NC(=O)C1=CC2=C(CCCC2=O)N(C1=O)C3=CC=CC=C3,Inactive,10,,,6.13,0.795846,7.25439,5.64589,5.49636
113,57257913,24636016,CC(C)(C)C1=CC=C(C=C1)OCCC(=O)NC2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)OC,Inactive,10,,,6.08,0.746934,6.59902,6.61072,5.02042
114,24825143,6028554,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)CC4=CC=CO4)O,Inactive,9,,,5.95,0.277772,6.28364,5.95659,5.60341
115,57255854,4854098,C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C(=O)OCC(=O)NC3=C(C=CC(=C3)Cl)C#N,Inactive,9,,,5.8,0.979692,4.90008,7.16581,5.34817
116,57259068,16299254,CC1=C(C(=NO1)C)S(=O)(=O)N2CCCN(CC2)C(=O)/C=C/C3=CC=C(C=C3)OCC=C,Inactive,9,,,5.71,1.02049,6.16888,4.30089,6.67337
117,99357757,292444,COC1=CC(=C(C=C1)C=CC2=NC3=CC=CC=C3C=C2)OC,Inactive,9,,,5.7,1.53515,4.59413,4.63231,7.86958
118,4265100,1302140,CC1=NC(C2=C(N1CC3=CC=CO3)CC(CC2=O)(C)C)(C(F)(F)F)C(F)(F)F,Inactive,9,,,5.54,0.115671,5.50799,5.41809,5.69574
119,14746057,2921012,CC1=CC=C(C=C1)S(=O)(=O)NC2=NN3C(C=C(NC3=N2)C)C4=CC=C(C=C4)Cl,Inactive,9,,,5.49,0.254111,5.13723,5.62433,5.71639
120,99356844,46902760,COC1=CC=C(C=C1)[C@H]2CN(C(=O)[C@@H]2CC(=O)NC3=CC=C(C=C3)OC)C4=CC=C(C=C4)Br,Inactive,9,,,5.42,0.285669,5.75963,5.0612,5.44747
121,49722457,22554538,CC1=CC=CC=C1S(=O)CC2=CC=C(O2)C(=O)NC3CCN(CC3)CC4=CC=CC=C4,Inactive,8,,,5.29,2.24552,2.19896,7.45759,6.22495
122,24821677,1479777,C1CSC2=C(C=CS2)C(=O)N1C(=O)C3=CC=CC=C3,Inactive,8,,,5.27,1.05197,3.87753,6.41597,5.53041
123,49819194,24817800,CCC1(C(=O)N(C(=O)N1)CC(=O)NC2=CN=C(C=C2)OC)C3=CC=CC=C3,Inactive,8,,,5.25,0.234155,4.91812,5.38644,5.43905
124,49670806,714697,CC1=C2C(=CC=C1)C(=O)C(=C(N2)C)CN3CCCCCC3,Inactive,8,,,5.2,1.15552,5.91945,3.5704,6.11239
125,49674689,68207,C[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,8,,,5.17,1.20019,6.60067,3.66366,5.24402
126,17433829,2937970,CCCN1C(=O)C2=C3C(=C(C=C2)N4CCCCC4)C=CC=C3C1=O,Inactive,8,,,5.16,0.821065,4.47391,4.68469,6.31145
127,56318154,24671337,COC1=CC=CC=C1C(=O)NCC(=O)OCC(=O)NC2=CC3=C(C=C2)NC(=O)N3,Inactive,8,,,5.15,0.831858,5.53741,5.91797,3.9941
128,56324704,24983073,CC1=NC(=CC=C1)NC(=O)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3,Inactive,8,,,5.13,0.434024,5.21104,4.55746,5.61041
129,24817037,767177,CC1=C[N+](=CC=C1)C2=C(SC(=N2)[O-])C=O,Inactive,8,,,5.1,0.849535,3.91653,5.87785,5.49936
130,136948151,55185,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H](C([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,Inactive,8,,,5.03,1.13816,5.84161,3.41873,5.82457
131,4249607,3243535,CC1=CC(=C(C=C1)NC(=O)CN2C3=C(C=C2C(=O)OC)OC=C3)C,Inactive,8,,,4.96,1.4945,3.50486,4.36222,7.01569
132,24831658,4841442,CC(C)(CNC1=C(C=C(C=C1)[N+](=O)[O-])C#N)N2CCOCC2,Inactive,8,,,4.96,0.308248,4.7486,5.39558,4.73498
133,22405515,11644907,C1=CC(C=CC1=O)(C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,8,,,4.95,0.867182,5.19015,5.86841,3.78601
134,87338532,649468,C1=CC=C(C(=C1)C2=NC3=C(C=C(C=C3)O)OC4=C2C=CC(=C4)O)C(=O)O,Inactive,8,,,4.91,1.39074,6.14565,2.96343,5.60756
135,22401305,750351,CN1C2=C(C(=O)N(C1=O)C)NC(=C2O)C3=CC=CC=C3,Inactive,8,,,4.88,0.304465,5.20147,4.46988,4.96111
136,51089028,3244864,CC1=C(SC2=NC(=CN12)C3=CC=C(C=C3)OC)C(=O)NC4=CC=CC(=C4)NC(=O)C,Inactive,8,,,4.81,1.38151,3.34279,6.66309,4.43709
137,47196848,2970765,CN1CCC(CC1)NC(=O)CCC2=CC=CC=C2,Inactive,8,,,4.78,0.528497,4.76221,4.14706,5.44109
138,22404875,2319701,CC1=C(C=C(C=C1)C(=C(Cl)Cl)NC(=O)N2CCCCC2)F,Inactive,8,,,4.77,1.35979,3.36366,4.32698,6.6066
139,4256420,1008083,COC1=C(C=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)N3CCCC3)Cl,Inactive,7,,,4.75,0.913651,4.37659,3.87422,6.01409
140,49825788,4384569,C1COCCN1C2=NC(=NC(=N2)NC3=CC4=C(C=C3)N=C(S4)SCC(=O)NC5=CC=CC=C5F)N6CCOCC6,Inactive,7,,,4.74,0.90326,4.74716,3.62337,5.8358
141,49729699,24792706,COC1=CC=C(C=C1)CNC(=O)C(C2=CC=CC=C2F)OC(=O)C3=CC=CO3,Inactive,7,,,4.7,0.526012,4.18894,4.4891,5.42416
142,103050355,49778229,CC1=C(SC(=O)N1CC2=CC=C(O2)C(=O)OC)C(=O)NCC3=CC=C(C=C3)C#N,Inactive,7,,,4.69,1.91931,6.46312,5.59444,2.02741
143,14743559,748441,CC1=CC(=CC=C1)N2C(=CC(NC2=S)(C)C)C,Inactive,7,,,4.67,0.237396,4.39179,4.65672,4.97255
144,57257986,25162103,CC(C)CN1C(=C(C(=O)NC1=O)N(CCOC)C(=O)C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])N,Inactive,7,,,4.62,0.510269,5.32951,4.1526,4.37655
145,26670777,6863889,C1=CC=C(C=C1)/C=N/NC(=O)CNC2=NNC(=O)NC2=O,Inactive,7,,,4.57,0.96294,5.19469,5.31149,3.21289
146,49665517,5406244,CC(=O)NC1=CC=C(C=C1)N2C(=O)C3=C4C(=C(C=C3)O)C=CC=C4C2=O,Inactive,7,,,4.56,0.331523,4.5358,4.97156,4.16024
147,24838945,3237872,C1COCCN1C(=O)OC2=CC=CC(=C2)C3C(=C(OC4=NNC(=C34)C5=CC=C(C=C5)F)N)C#N,Inactive,7,,,4.53,0.690935,4.60625,5.33479,3.64758
148,49817353,135550912,C1=CC=C2C=[N+](C=CC2=C1)C3=C(SC(=O)N3)/C=N/NC(=O)C4=CC=CC=C4[O-],Inactive,7,,,4.42,1.31066,2.74859,5.94929,4.56533
149,57265826,2507584,CC(C)C1=CC=CC=C1NC(=O)CSC2=NNC(=O)N2C3CC3,Inactive,7,,,4.34,0.973893,3.03765,4.60924,5.37769
150,92763562,28638811,C1CCC(CC1)C(=O)NC2=CC=CC(=C2)C(=O)NCC3=CC=CC=C3,Inactive,7,,,4.29,0.153749,4.10135,4.47786,4.2823
151,57266551,2629234,CN1C=CC=C1C(=O)OCC(=O)NCC2=CC3=C(C=C2)OCO3,Inactive,7,,,4.23,0.583816,3.51432,4.24249,4.94429
152,89855086,44825575,CN(C1CC1)C(=O)C2=CC(=CC=C2)NC(=O)CC3=CC(=CC=C3)NC(=O)C4CCN(CC4)C(=O)C5CCCCC5,Inactive,7,,,4.23,1.13195,4.99243,5.06273,2.62713
153,99494860,46948239,CCCNC(=O)C1(CCCN(C1)C(=O)C2=C(N=CC=C2)OC3=CC=CC=C3)C,Inactive,7,,,4.21,0.788258,5.05665,4.42311,3.1603
154,14731974,9550196,CCCCN(C)C(=O)C1=CC2=C(S1)N=C3C=C(C=CC3=C2)OC,Inactive,7,,,4.2,1.42325,5.42743,2.20167,4.9596
155,845579,647935,CCOC1=CC=C(C=C1)NC(=O)CCN2CCCCC2,Inactive,7,,,4.18,0.302025,4.42048,3.75072,4.35773
156,89854334,260217,CC1=C(C=C(C=C1)N=CC2=CC=CC=C2O)Cl,Inactive,6,,,4.16,0.506098,4.75166,3.51581,4.21807
157,57260024,16249326,CN1C2=CC=CC=C2N=C1CC(=O)NNC(=O)C3=CC=CC=C3F,Inactive,6,,,4.13,0.5336,3.41533,4.69452,4.28736
158,85198239,25058325,CN(C)C1=CC=C(C=C1)C#CC2=C(SC3=CC=CC=C32)C4=CC=CC=C4OC,Inactive,6,,,4.11,2.4408,5.45077,0.680066,6.18618
159,14730728,72652,C1CC2=CC3=C(C4=C2N(C1)CCC4)OC(=O)C=C3C(F)(F)F,Inactive,6,,,4.1,0.653912,4.96949,3.39267,3.93728
160,17411496,1474885,CC1=CC=C(C=C1)CNC2=NC=NC3=CC(=C(C=C32)OC)OC,Inactive,6,,,4.1,0.88531,5.19345,4.07322,3.0253
161,103073824,49789400,CC1(C2=C(C=CC(=C2)C3=CC=CC=C3OC)NC1=O)CC4=CC(=CC=C4)C#N,Inactive,6,,,4.06,0.31343,4.49309,3.75961,3.92991
162,49734951,16033597,CCC1=NC2=C(C=C(C=C2)C(=O)NCCC3=CC=CC=C3OC)N=C1CC,Inactive,6,,,4.03,0.523281,4.76736,3.71436,3.60792
163,7965996,5307952,C1CN(CC2=CC=CC=C21)C(=O)C3=NOC(=C3)C4=CC=C(C=C4)O,Inactive,6,,,4.01,0.384911,4.55109,3.79915,3.68252
164,842552,644822,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CN2CCN(CC2)CCC#N,Inactive,6,,,3.96,1.22219,5.19146,4.40397,2.29637
165,24791257,1213442,COC1=CC(=C(C=C1)NC(=S)N2CCN(CC2)CC3=CC=CC=C3)OC,Inactive,6,,,3.96,0.150981,4.02362,3.75511,4.1096
166,24807939,1153656,CN1C(=NN=C1SCC(=O)NC2=CC=CC=C2OC)COC3=CC=CC=C3OC,Inactive,6,,,3.94,0.76534,4.26728,4.67323,2.88525
167,47200228,23724138,C1=CC=C(C(=C1)C2=CSC(=N2)NC(CO)C3=NC4=CC=CC=C4N3CCOCCO)Br,Inactive,6,,,3.9,1.02471,3.28037,3.08412,5.34932
168,17412623,9566724,CC1=CC=C(O1)/C=N/N2C(=O)C3C4C=CC(C3C2=O)C45CC5,Inactive,6,,,3.82,0.170576,4.01372,3.60014,3.85836
169,49719244,24790817,CN(C)S(=O)(=O)N1CCC(CC1)OC2=CC=C(C=C2)C(=O)N3C[C@@H]4CCC[C@H]3C4,Inactive,6,,,3.8,0.64966,4.68941,3.14797,3.57628
170,24841710,16197191,C1[C@@H](N(C(=S)N1)CCC2=CC(=CC=C2)F)CC3=CC=CC=C3,Inactive,6,,,3.8,1.86079,6.18784,3.55111,1.64968
171,14733963,2834357,CC1CCN(CC1)CC(COCCC23CC4CC(C2)CC(C4)C3)O.Cl,Inactive,6,,,3.65,1.81439,5.06477,1.09017,4.79964
172,17413090,2920681,C1CSC(=O)C1NC(=S)NC(=O)C2=CC=CC=C2Cl,Inactive,6,,,3.62,0.620116,3.47858,4.44557,2.9476
173,865117,4887883,CCCCN1C(=C(C(=O)NC1=O)C(=NC2=CC=C(C=C2)C(=O)O)CC)O,Inactive,6,,,3.6,0.492686,2.89863,3.92532,3.96131
174,57261008,3676732,COC1=CC=C(C=C1)NC(=O)COC(=O)CC2C(=O)NC3=CC=CC=C3S2,Inactive,5,,,3.55,0.0527752,3.59048,3.47256,3.5774
175,22404310,2916903,CC1=CC2=C(C=C1C)NC(=O)CC2C3=CC(=CC=C3)[N+](=O)[O-],Inactive,5,,,3.54,0.0923435,3.51597,3.4449,3.66641
176,49644920,3122367,CC(=O)NC1=CC=C(C=C1)NC(=O)C2=C(C=NN2C)[N+](=O)[O-],Inactive,5,,,3.45,1.11994,4.99934,2.96865,2.38668
177,14732462,2267437,CC1=CC=C(C=C1)C(=O)/C=C/NC2=CC=C(C=C2)C,Inactive,5,,,3.37,1.27921,3.05855,1.98709,5.07285
178,17412470,6869293,CC(C)(C)C1=NN(C(=C1)C(=O)N/N=C/C2=CC=C(C=C2)F)C3=CC=CC=C3,Inactive,5,,,3.37,0.693497,4.21432,3.38319,2.51573
179,4255313,1245963,CCC1=CC=C(S1)C(=O)N2CCN(CC2)C3=CC=C(C=C3)F,Inactive,5,,,3.36,0.463134,3.93208,3.36479,2.79764
180,24803055,3157816,CC1=C(C(=NN1C)C)CCC(=O)O,Inactive,5,,,3.36,0.966214,3.27432,2.2226,4.58461
181,859717,661022,CC1=CC=C(C=C1)S(=O)(=O)C(C#N)C2=NC3=CC=CC=C3N=C2N4CCCC4,Inactive,5,,,3.35,0.967179,2.17236,4.54111,3.32187
182,24808626,3146565,CC1=CC=C(C=C1)C2C(=C(C(=O)N2C3=NN=C(S3)C)O)C(=O)C4=CC=CS4,Inactive,5,,,3.28,0.362187,3.75458,2.8759,3.20918
183,24822499,1098407,CC1=CC=C(C=C1)NC(=O)CN2C3=CC=CC=C3C(=C2O)N=NC(=O)N,Inactive,5,,,3.26,0.542031,2.83999,2.91483,4.02541
184,47203533,2891958,COC(=O)C1=CC=C(C=C1)C2C(CCC(=O)N2)[N+](=O)[O-],Inactive,5,,,3.21,0.0857392,3.16536,3.32709,3.1302
185,99356622,46902538,C1CCC(CC1)C(=O)N2C[C@@H]([C@H](C[C@@H]2C3=CC=CC=C3)O)N4C=C(N=N4)COC(=O)C5=CC=CC=C5,Inactive,5,,,3.19,0.312607,2.82374,3.15347,3.58712
186,99454199,4853908,CC1=C(SC(=C1C(=O)OCC(=O)NC2=CC=CC=C2C(F)(F)F)NC(=O)C)C,Inactive,5,,,3.18,0.69757,4.12356,2.95999,2.45813
187,89854566,4647455,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)OCC=C,Inactive,5,,,3.12,0.742708,3.79113,3.4899,2.08674
188,99360454,46904856,CC1(CC(=O)C=C(C1=O)C2=CC=CC=C2C3=CC=CC=C3OC)C,Inactive,5,,,3.12,0.515057,2.41279,3.30347,3.63194
189,24785386,2939274,CC(C)C1=NN=C(S1)N2C(C(=C(C2=O)O)C(=O)C3=CC=CS3)C4=CC=CC=C4,Inactive,5,,,3.09,0.622938,3.77616,3.23143,2.26942
190,49667575,3557055,C=CCNC(=O)CN(CCC1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2,Inactive,5,,,3.09,0.88342,4.33054,2.33712,2.60471
191,47203103,2748305,CC1=C(C(NC(=O)N1)C2=CC3=C(C=C2)OCO3)C(=O)OC(C)C,Inactive,5,,,3.06,0.456312,3.02037,3.63048,2.51437
192,24823240,9776887,COC1=CC=C(C=C1)C2=CN=NC(=N2)N/N=C/C=C/C3=CC=CO3,Inactive,5,,,3.03,0.583177,2.46093,2.79778,3.83157
193,49665355,5396293,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)C4=CC=C(C=C4)Cl)O,Inactive,5,,,3.02,0.501514,3.25827,2.32579,3.48462
194,49680843,2118550,CC(C)[C@@H](C(=O)NC1=CC=C(C=C1)NC(=O)C)NC(=O)C2=CC=CC=C2F,Inactive,5,,,3.02,1.39205,1.10204,4.37329,3.57095
195,26665336,224922,C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,Inactive,5,,,3.01,0.695901,3.98058,2.64151,2.39757
196,89853911,44825386,C[C@H]\1CN[C@H](/C1=C\C2=CC=CC=C2)CCO,Inactive,5,,,2.99,1.32336,4.49045,1.26955,3.1965
197,136947163,1953641,C1=CC=C(C=C1)C2=CC=CC=C2NC(=O)CSC3=NN=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=N5,Inactive,4,,,2.95,1.54535,5.05136,2.43116,1.37536
198,49665907,1476675,CCOC(=O)CN1C(=CC(=C(C1=O)C#N)SC)C2=CC=CC=C2,Inactive,4,,,2.86,1.01196,3.60076,1.42691,3.54538
199,85271921,3207127,C1=COC(=C1)CNC(=O)CN(CC2=CC=CS2)C(=O)CNS(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,4,,,2.81,0.667451,3.72976,2.15631,2.55845
200,24785253,16188765,CC(C)CC1C2=C(CCN1C(=O)CCC(=O)N(C)C)C3=CC=CC=C3N2,Inactive,4,,,2.81,0.501412,2.87439,3.39287,2.1694
201,56317269,8233772,C1=CC=C(C=C1)C(=O)NC(=O)COC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive,4,,,2.79,1.04903,1.61753,4.16352,2.58966
202,56318908,2715226,C1CC2=CC=CC=C2N(C1)C(=O)COC(=O)C3=CC(=CC=C3)C(F)(F)F,Inactive,4,,,2.79,0.346703,3.05909,2.30029,3.00995
203,22413874,624191,CCOC(=O)C1=C(C2=C(S1)N=C3CCCN3C2=O)C,Inactive,4,,,2.76,0.568977,1.9597,3.18639,3.14596
204,144098317,3226269,C1CC(CN(C1)C(=O)C2=CC(=CC=C2)F)C3=NC(=NO3)C4=CC=CS4,Inactive,4,,,2.76,0.836707,3.90795,1.93281,2.44658
205,99359317,46903884,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=C(ON=C3C)C)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Inactive,4,,,2.74,1.49323,4.80579,1.32623,2.08966
206,4251476,1279138,COC1=CC(=C(C=C1)OC)S(=O)(=O)NC2=CC=C(C=C2)CC(=O)O,Inactive,4,,,2.74,0.497051,2.04223,3.00168,3.17108
207,57266238,16316573,CN(C)C(CNC(=O)C1=C(C=CC(=C1)S(=O)(=O)N(C)C2=CC=C(C=C2)F)Cl)C3=CC=CS3,Inactive,4,,,2.65,1.10513,3.1074,3.72405,1.13302
208,17387762,9704230,C/C(=N\NC(=O)CSCC1=CC=C(C=C1)Cl)/C2=CC3=C(C=C2)OCCO3,Inactive,4,,,2.64,1.46585,2.5083,0.912672,4.49611
209,24783077,16188044,CC1=C(C(=NO1)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N)[N+](=O)[O-],Inactive,4,,,2.63,0.360438,2.89435,2.86979,2.11776
210,24813910,16194192,CC1CCN(CC1)CCCNC2=C(C=C(C=C2)C(=O)NC3=CC(=C(C=C3)C)F)[N+](=O)[O-].Cl,Inactive,4,,,2.57,0.59826,2.7187,1.77124,3.21314
211,87342033,42627982,CCOC(=O)C1=CN(S(=O)(=O)N(C1C2=CC3=CC=CC=C3C=C2)C)CC4=CC=CO4,Inactive,4,,,2.54,0.587544,3.13666,2.74206,1.74075
212,99454086,46942479,C1=CC(=CC(=C1)OC(F)(F)F)NC(=O)C2=C3C(=C(C=C2)C4=CN=CC=C4)C=CO3,Inactive,4,,,2.51,0.760906,2.25783,1.72221,3.53606
213,56322019,24981900,C1CCC(=CC1)CCNC(=O)C2=CC(=C(C=C2)N3C=NC=N3)[N+](=O)[O-],Inactive,4,,,2.41,1.09054,0.8773,3.07305,3.29266
214,87349254,44602115,C[C@@]12[C@H](C[C@@H](C(=O)N1CCC3=C2NC4=C3C=CC(=C4)C5=CC=CO5)CC(=O)NCC6=CC(=C(C=C6)OC)OC)C(=O)N7CCOCC7,Inactive,4,,,2.41,0.128622,2.50028,2.49764,2.22612
215,26725764,5735793,COC1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3C(=C2)C(=O)O,Inactive,4,,,2.39,1.00434,0.992713,2.89758,3.29338
216,85146301,44142187,C1C=CCN[C@H](C(=O)N([C@H]1C2=CC=CO2)CC3=CC=CC=C3)CC4=CC=CC=C4,Inactive,4,,,2.39,0.578002,1.63124,3.03394,2.49909
217,26726481,2812885,CC1=CC(=NO1)C(=O)NNC2=C(C=CC=C2Cl)Cl,Inactive,3,,,2.34,1.41785,3.50375,0.34773,3.18113
218,4252206,3245788,CCN1C2=CC=CC=C2C(=CC1=O)SCC(=O)NC3=CN=CC=C3,Inactive,3,,,2.32,1.21991,3.24455,3.11897,0.596225
219,856448,657808,C1CC(=O)C(=C2C=CC3=CC=CC=C3N2C1)C#N,Inactive,3,,,2.32,0.060014,2.37638,2.33539,2.23363
220,24832271,2089537,COCCNC(=O)COC(=O)C1=CC=C(C=C1)S(=O)(=O)N2CCOCC2,Inactive,3,,,2.31,1.57418,3.90121,2.87351,0.168801
221,103076713,49791371,CC1=CC=C(C=C1)CN2CCCC2(C)C(=O)NC(C)C,Inactive,3,,,2.31,0.515202,1.58005,2.6861,2.65932
222,24788058,984326,CN1C2=CC=CC3=C2C(=C(C1=O)NC4CCCCC4)C5=CC=CC=C5C3=O,Inactive,3,,,2.3,1.26303,2.90239,3.45204,0.540546
223,49677523,135463744,C1=CC=C(C=C1)C2=CN(C3=C2C(=O)NC=N3)C4=CC=CC=C4,Inactive,3,,,2.19,0.525211,2.52715,2.59331,1.44756
224,24803064,5395236,C/C(=N\NC(=O)CN1C=NC2=CC=CC=C21)/C3=CC=CS3,Inactive,3,,,2.18,0.384415,2.5603,2.33686,1.65641
225,49644041,5726092,COC1=C(C=C(C=C1)/C=N/N2CCN(CC2)C3=CC=C(C=C3)Cl)O,Inactive,3,,,2.11,0.687534,1.28939,2.05829,2.97144
226,47195753,331926,CCOC(=O)C(C)(C)OC1=CC=CC2=C1S(=O)(=O)C3=CC=CC=C23,Inactive,3,,,2.09,0.609234,1.49299,2.92813,1.85625
